id,title,agency,case_group,declared_location,declared_date,title_places,body_places,flags,severity
dow-001-18-100754-general-1946-7-vol-2,18_100754_ General 1946-7_Vol_2,DoW,other,N/A,12/30/47,,Germany; Spain; Mexico; California; New Mexico; Washington (state); North America,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Spain, Mexico, California, New Mexico",LOW
dow-002-18-6369445-general-1948-vol-1,18_6369445_General_1948_Vol_1,DoW,other,N/A,6/15/48,,Pacific Ocean; Canada; Wright-Patterson AFB; Texas; California; Florida; New York; Washington (state),"DECLARED_NA_BUT_BODY_HAS_PLACES: Canada, Wright-Patterson AFB, Texas, California, Florida",LOW
dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,DoW,other,Germany,3/18/45,,Germany; California,,
dow-004-341-110448-records-relating-to-the-collection-and-disseminat,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,DoW,other,Netherlands,11/8/48,,Netherlands; Washington (state),"TITLE_DATE_VS_DECLARED_DATE: title year=1955, declared=11/8/48",HIGH
dow-005-341-110677-numerical-file-5-2500,"341_110677_Numerical_File,_5-2500",DoW,other,Azerbaijan,10/14/55,,Azerbaijan,,
dow-006-342-hs1-416511228-319-1-flying-discs-1949,342_HS1-416511228_319.1 Flying Discs 1949,DoW,other,N/A,1/9/50,,Oman; Pacific Ocean; Japan; China; Canada; Wright-Patterson AFB; Texas; California,"DECLARED_NA_BUT_BODY_HAS_PLACES: Oman, Japan, China, Canada, Wright-Patterson AFB",LOW
dow-007-38-143685-box-incident-summaries-101-172,38_143685_box_Incident_Summaries_101-172,DoW,DoW/Incident-Summaries-143685,N/A,N/A,,United Arab Emirates; Jordan; Turkey; Pacific Ocean; Atlantic Ocean; United Kingdom; Norway; Sweden,"DECLARED_NA_BUT_BODY_HAS_PLACES: United Arab Emirates, Jordan, Turkey, United Kingdom, Norway",LOW
dow-008-38-143685-box-incident-summaries-173-233,38_143685_box_Incident_Summaries_173-233,DoW,DoW/Incident-Summaries-143685,N/A,N/A,,Germany; Mexico; Wright-Patterson AFB; Andrews AFB; Texas; Arizona; New Mexico; Florida,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Mexico, Wright-Patterson AFB, Andrews AFB, Texas",LOW
dow-009-38-143685-box7-incident-summaries-1-100,38_143685_box7_Incident_Summaries_1-100,DoW,DoW/Incident-Summaries-143685,N/A,N/A,,Pacific Ocean; Atlantic Ocean; Germany; Finland; Texas; California; Arizona; Nevada,"DECLARED_NA_BUT_BODY_HAS_PLACES: Germany, Finland, Texas, California, Arizona",LOW
dow-010-dow-uap-d10-mission-report-middle-east-may-2022,"DOW-UAP-D10, Mission Report, Middle East, May 2022",DoW,DOW/D-series,Iraq,5/6/22,Middle East,Iraq; Middle East,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Middle East, declared=Iraq",HIGH
dow-011-dow-uap-d12-mission-report-iraq-may-2022,"DOW-UAP-D12, Mission Report, Iraq, May 2022",DoW,DOW/D-series,Iraq,5/20/22,Iraq,Iraq,,
dow-012-dow-uap-d14-mission-report-iraq-may-2022,"DOW-UAP-D14, Mission Report, Iraq, May 2022",DoW,DOW/D-series,Syria,5/29/22,Iraq,Iraq; Syria; Israel; Lebanon; Mediterranean Sea; New Mexico; Florida,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=Iraq, declared=Syria",HIGH
dow-013-dow-uap-d16-mission-report-syria-july-2022,"DOW-UAP-D16, Mission Report, Syria, July 2022",DoW,DOW/D-series,Syria,7/31/22,Syria,Syria; Arizona; Florida,,
dow-014-dow-uap-d18-mission-report-iraq-december-2022,"DOW-UAP-D18, Mission Report, Iraq, December 2022",DoW,DOW/D-series,Iraq,12/1/22,Iraq,Iraq,,
dow-015-dow-uap-d19-mission-report-syria-february-21-2023,"DOW-UAP-D19, Mission Report, Syria, February 21, 2023",DoW,DOW/D-series,Syria,2/21/23,Syria,Syria; Turkey; Florida,,
dow-016-dow-uap-d20-mission-report-iraq-2023,"DOW-UAP-D20, Mission Report, Iraq, 2023",DoW,DOW/D-series,Iraq,3/31/23,Iraq,Iraq,,
dow-017-dow-uap-d23-mission-report-united-arab-emirates-october-2023,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",DoW,DOW/D-series,Persian Gulf,10/31/23,United Arab Emirates,United Arab Emirates; Persian Gulf,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=United Arab Emirates, declared=Persian Gulf",HIGH
dow-018-dow-uap-d23-mission-report-united-arab-emirates-october-2023,"DOW-UAP-D23, Mission Report, United Arab Emirates, October 2023",DoW,DOW/D-series,Persian Gulf,10/31/23,United Arab Emirates,United Arab Emirates; Persian Gulf,"TITLE_BODY_DISAGREES_WITH_DECLARED: title/body=United Arab Emirates, declared=Persian Gulf",HIGH
