sort_date,incident_date_raw,id,type,agency,title,incident_location,summary_short
1945-03-18,3/18/45,dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ,pdf,DoW,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Germany,"This file contains SHAEF messages and memorandums related to ""night phenomena (foofighters),"" flak rockets, unidentified cylindrical objects, and blinking lights. The documents include multiple refere"
1947-12-30,12/30/47,dow-001-18-100754-general-1946-7-vol-2,pdf,DoW,18_100754_ General 1946-7_Vol_2,N/A,This file contains memorandums and correspondence related to flying disc/saucer sightings and that those are a matter of concern for the Air Materiel Command.
1948-06-15,6/15/48,dow-002-18-6369445-general-1948-vol-1,pdf,DoW,18_6369445_General_1948_Vol_1,N/A,"This file contains memorandums, correspondence, and forms related to the reporting of information on flying discs and investigations into sightings."
1948-11-08,11/8/48,dow-004-341-110448-records-relating-to-the-collection-and-disseminat,pdf,DoW,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Netherlands,An Air Force intelligence report from November 1948 relating to unidentified flying objects and flying saucers.
1950-01-09,1/9/50,dow-006-342-hs1-416511228-319-1-flying-discs-1949,pdf,DoW,342_HS1-416511228_319.1 Flying Discs 1949,N/A,This file primarily contains incident reports on Unidentified Flying Objects (UFOs) written in compliance with the 1948 Flight Service Regulation (FSR) 200-4. The incidents were witnessed by military 
1952-07-18,7/18/52,state-002-59-64634-711-5612-7-2852,pdf,State,59_64634_711.5612[7-2852,N/A,"This two page memorandum, dated July 18, 1952, relates to increased reports of unidentified flying objects (UFOs). Included in the record are possible explanations of increased sightings, such as tech"
1955-10-14,10/14/55,dow-005-341-110677-numerical-file-5-2500,pdf,DoW,"341_110677_Numerical_File,_5-2500",Azerbaijan,"Air Intelligence Information Report, 14 October 1955, Report of eye witness account of the ascent and flight of a unconventional aircraft in the trans-Caucasus region on the USSR."
1957-11-07,11/7/57,fbi-018-65-hs1-101634279-100-de-26505,pdf,FBI,65_HS1-101634279_100-DE-26505,Germany,"An FBI report from 1957 detailing the interview with Wladyslaw Krasuski, who recounted seeing a large, circular, vertically-rising vehicle in 1944 Germany near a German military compound."
1958-04-17,4/17/58,fbi-017-65-hs1-101634279-100-de-18221-serial-844,pdf,FBI,65_HS1-101634279_100-DE-18221_Serial_844,"Detroit, MI","An FBI memo from 1958 reporting a UFO sighting by a Detroit man who described a ""circular object with a crystal-type dome,"" and recommending that the information be forwarded to ""proper air force auth"
1963-07-18,7/18/63,state-001-59-214434-sp-16-7-18-1963,pdf,State,59_214434_SP 16 [7.18.1963],N/A,"This memorandum, dated July 18, 1963, from the Executive Office of the President, National Aeronautics and Space Council, relates to thoughts on the space alien race question. Included are details rel"
1965-12-05,12/5/65,nasa-002-nasa-uap-d3-gemini-7-transcript-1965,pdf,NASA,"NASA-UAP-D3, Gemini 7 Transcript, 1965",Low Earth Orbit,"Gemini 7 was the tenth crewed American spaceflight. This document is a transcript of communications between the flight crew, Astronauts James “Jim” Lovell and Frank Borman, and the Manned Flight Cente"
1965-12-05,12/5/65,nasa-003-nasa-uap-d3a-gemini-7-audio-excerpt-1965,video,NASA,"NASA-UAP-D3A, Gemini 7 Audio Excerpt, 1965",Low Earth Orbit,"This audio recording contains air to ground communications and the NASA Public Affairs audio feed with commentary, recorded during the flight of the Gemini 7 mission. In this excerpted segment of audi"
1969-01-01,1969,nasa-004-nasa-uap-d1-apollo-12-transcript-1969,pdf,NASA,"NASA-UAP-D1, Apollo 12 Transcript, 1969",Moon,Apollo 12 was the fourth crewed U.S. mission to the Moon and the second to land astronauts on the lunar surface. This document is an excerpt from the Apollo 12 Technical Air-to-Ground Voice Transcript
1969-01-01,1969,nasa-006-nasa-uap-d4-apollo-11-technical-crew-debriefing-1969,pdf,NASA,"NASA-UAP-D4, Apollo 11 Technical Crew Debriefing, 1969",N/A,Apollo 11 was the third crewed mission to the Moon and the first to land Astronauts on the lunar surface. This document is an excerpt from the Apollo 11 Technical Crew Debriefing (Volumes 1 and 2) fro
1969-01-01,1969,nasa-010-nasa-uap-vm1-apollo-12-1969,image,NASA,"NASA-UAP-VM1, Apollo 12, 1969",Moon,This archival photograph depicts the lunar surface as viewed from the landing site of Apollo 12. This image features a highlighted area of interest slightly to the right of the vertical axis of the fr
1969-01-01,1969,nasa-011-nasa-uap-vm2-apollo-12-1969,image,NASA,"NASA-UAP-VM2, Apollo 12, 1969",Moon,"This archival photograph depicts the lunar surface as viewed from the landing site of Apollo 12. This image features two highlighted areas of interest, labeled “Area 1” and “Area 2,” slightly to the r"
1969-01-01,1969,nasa-012-nasa-uap-vm3-apollo-12-1969,image,NASA,"NASA-UAP-VM3, Apollo 12, 1969",Moon,"This archival photograph depicts the lunar surface as viewed from the landing site of Apollo 12. This image features a highlighted area of interest near the right edge of the frame, above the horizon,"
1969-01-01,1969,nasa-013-nasa-uap-vm4-apollo-12-1969,image,NASA,"NASA-UAP-VM4, Apollo 12, 1969",Moon,This archival photograph depicts the lunar surface as viewed from the landing site of Apollo 12. This image features a highlighted area of interest slightly to the left of the vertical axis of the fra
1969-01-01,1969,nasa-014-nasa-uap-vm5-apollo-12-1969,image,NASA,"NASA-UAP-VM5, Apollo 12, 1969",Moon,"This archival photograph depicts the lunar surface as viewed from the landing site of Apollo 12. This image features five highlighted areas of interest, labeled “Area 1” through “Area 5,” above the ho"
1972-01-01,1972,nasa-005-nasa-uap-d2-apollo-17-transcript-1972,pdf,NASA,"NASA-UAP-D2, Apollo 17 Transcript, 1972",Moon,"Apollo 17 was the ninth crewed U.S. mission to the Moon, and the sixth to land astronauts on the lunar surface. This document is an excerpt from the Apollo 17 Technical Air-to-Ground Voice Transcripti"
