id,type,title,agency,agency_raw,type_code,page_section,release_date,incident_date,incident_location,summary,redaction,video_pairing,pdf_pairing,video_title,dvids_video_id,modal_image_url,source_url,discovered_on,fetched_on,local_path,bytes,sha256,http_status,content_type,etag,last_modified,extracted_text_path,status,notes
dow-001-18-100754-general-1946-7-vol-2,pdf,18_100754_ General 1946-7_Vol_2,DoW,Department of War,PDF,Release 01,5/8/26,12/30/47,N/A,This file contains memorandums and correspondence related to flying disc/saucer sightings and that those are a matter of concern for the Air Materiel Command.,,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/18_100754_ general 1946-7_vol_2.jpg,https://www.war.gov/medialink/ufo/release_1/18_100754_ general 1946-7_vol_2.pdf,2026-05-08T16:48:52Z,2026-05-08T16:51:29Z,files/pdfs/dow-001-18-100754-general-1946-7-vol-2.pdf,61464225,85d659d6b2208610ac55e6c82cfed0315002f4b6d43963a29fb8e973258bfdd2,200,application/pdf,"""794c8ee5123e2939ca604a7495b8ef8a:1778199165.315529""","Thu, 07 May 2026 23:50:26 GMT",extracted/dow-001-18-100754-general-1946-7-vol-2.md,ok,
dow-002-18-6369445-general-1948-vol-1,pdf,18_6369445_General_1948_Vol_1,DoW,Department of War,PDF,Release 01,5/8/26,6/15/48,N/A,"This file contains memorandums, correspondence, and forms related to the reporting of information on flying discs and investigations into sightings.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/18_6369445_general_1948_vol_1.jpg,https://www.war.gov/medialink/ufo/release_1/18_6369445_general_1948_vol_1.pdf,2026-05-08T16:48:52Z,2026-05-08T16:51:36Z,files/pdfs/dow-002-18-6369445-general-1948-vol-1.pdf,65878977,34d59dc7578ffe7e072a6164c6050f45cff30b634313a87141c0886aa93d15c7,200,application/pdf,"""fa7ab40454b097b4d06d8767602b747e:1778199167.696305""","Thu, 07 May 2026 23:50:23 GMT",extracted/dow-002-18-6369445-general-1948-vol-1.md,ok,
dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ,pdf,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,DoW,Department of War,PDF,Release 01,5/8/26,3/18/45,Germany,"This file contains SHAEF messages and memorandums related to ""night phenomena (foofighters),"" flak rockets, unidentified cylindrical objects, and blinking lights. The documents include multiple references to the observations of the 415th Night Fighter Squadron.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.jpg,https://www.war.gov/medialink/ufo/release_1/331_120752_numeric_files_1944–1945_37153_german_armament_equipment_documents.pdf,2026-05-08T16:48:52Z,2026-05-08T16:51:48Z,files/pdfs/dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ.pdf,15892720,cc709f89f3f3de832ee3979817a3c716727dd03c2f4fe26a545f1904b29fd467,200,application/pdf,"""1717c52cc0cd2a587d76c97322e3f2c3:1778199240.099421""","Thu, 07 May 2026 23:55:40 GMT",extracted/dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ.md,ok,
dow-004-341-110448-records-relating-to-the-collection-and-disseminat,pdf,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,DoW,Department of War,PDF,Release 01,5/8/26,11/8/48,Netherlands,An Air Force intelligence report from November 1948 relating to unidentified flying objects and flying saucers.,,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.jpg,https://www.war.gov/medialink/ufo/release_1/341_110448_records_relating_to_the_collection_and_dissemination_of_intelligence_1948-1955-ts_cont_no.2_2-5300-2-5399.pdf,2026-05-08T16:48:52Z,2026-05-08T16:51:50Z,files/pdfs/dow-004-341-110448-records-relating-to-the-collection-and-disseminat.pdf,9888054,45b2fdb6c919cd8ed9c4406f4d60c7add073669dff5a5497595d4ecf08d72073,200,application/pdf,"""9902a9e71aa8fcf1a89c073a56581d8c:1778199240.422368""","Thu, 07 May 2026 23:50:27 GMT",extracted/dow-004-341-110448-records-relating-to-the-collection-and-disseminat.md,ok,
dow-005-341-110677-numerical-file-5-2500,pdf,"341_110677_Numerical_File,_5-2500",DoW,Department of War,PDF,Release 01,5/8/26,10/14/55,Azerbaijan,"Air Intelligence Information Report, 14 October 1955, Report of eye witness account of the ascent and flight of a unconventional aircraft in the trans-Caucasus region on the USSR.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/341_110677_numerical_file_5-2500.jpg,https://www.war.gov/medialink/ufo/release_1/341_110677_numerical_file_5-2500.pdf,2026-05-08T16:48:52Z,2026-05-08T16:51:55Z,files/pdfs/dow-005-341-110677-numerical-file-5-2500.pdf,57343984,2cbbb33f9917d45c8b6009ee6ec5b958bc9c7d28b4a0f04edd261e7bf2f3d2f6,200,application/pdf,"""2a39c59a717bb658465036b6168883fa:1778199244.642612""","Thu, 07 May 2026 23:50:40 GMT",extracted/dow-005-341-110677-numerical-file-5-2500.md,ok,
dow-006-342-hs1-416511228-319-1-flying-discs-1949,pdf,342_HS1-416511228_319.1 Flying Discs 1949,DoW,Department of War,PDF,Release 01,5/8/26,1/9/50,N/A,"This file primarily contains incident reports on Unidentified Flying Objects (UFOs) written in compliance with the 1948 Flight Service Regulation (FSR) 200-4. The incidents were witnessed by military sources, as well as well as by some Civilian Aviation Authority (CAA) ones. The reports typically include information such as dates, locations, weather, and altitude, plus detailed descriptions of appearance and movement. Some messages from the Military Air Transport Service (MATS) and Army Airways Communications System (AACS) are also included, as well as additional military intelligence reports, several diagrams, and a report from a weather station in Japan.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/342_hs1-416511228_box186_319.1-flying-discs-1949.jpg,https://www.war.gov/medialink/ufo/release_1/342_hs1-416511228_box186_319.1-flying-discs-1949.pdf,2026-05-08T16:48:52Z,2026-05-08T16:52:02Z,files/pdfs/dow-006-342-hs1-416511228-319-1-flying-discs-1949.pdf,123253043,707639e26003ce0c4f317b379626092d56af0f5a73db52cd91d4af184009c515,200,application/pdf,"""2d433437c52073ccb357ab301b402133:1778199247.981837""","Thu, 07 May 2026 23:50:56 GMT",extracted/dow-006-342-hs1-416511228-319-1-flying-discs-1949.md,ok,
dow-007-38-143685-box-incident-summaries-101-172,pdf,38_143685_box_Incident_Summaries_101-172,DoW,Department of War,PDF,Release 01,5/8/26,N/A,N/A,"Each of these incident summaries includes a ""Check-List - Unidentified Flying Objects"" that contains details about the incident. Many summaries also include witness lists or statements and other narrative reports or descriptions.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/38_143685_box7_incident_summaries_101-172.jpg,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_101-172.pdf,2026-05-08T16:48:52Z,2026-05-08T16:52:14Z,files/pdfs/dow-007-38-143685-box-incident-summaries-101-172.pdf,242733260,f4b5cf6a93fe47c09123ce53706e430c814229ed688a49a96244a90b4bcf3e05,200,application/pdf,"""915e6bb9ee97960aaa5f1c0485d68b60:1778199184.141781""","Thu, 07 May 2026 23:52:14 GMT",extracted/dow-007-38-143685-box-incident-summaries-101-172.md,ok,
dow-008-38-143685-box-incident-summaries-173-233,pdf,38_143685_box_Incident_Summaries_173-233,DoW,Department of War,PDF,Release 01,5/8/26,N/A,N/A,"Each of these incident summaries includes a ""Check-List - Unidentified Flying Objects"" that contains details about the incident. Many summaries also include witness lists or statements and other narrative reports or descriptions.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/38_143685_box7_incident_summaries_173-233.jpg,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_173-233.pdf,2026-05-08T16:48:52Z,2026-05-08T16:52:18Z,files/pdfs/dow-008-38-143685-box-incident-summaries-173-233.pdf,49382924,1d9722f764878359c73135f82b12608f1267eaf90d274c7d5775ab43bc9a289c,200,application/pdf,"""9dd5933c332a2b5a77ecebc047a88d27:1778199184.065627""","Thu, 07 May 2026 23:52:11 GMT",extracted/dow-008-38-143685-box-incident-summaries-173-233.md,ok,
dow-009-38-143685-box7-incident-summaries-1-100,pdf,38_143685_box7_Incident_Summaries_1-100,DoW,Department of War,PDF,Release 01,5/8/26,N/A,N/A,"Each of these incident summaries includes a ""Check-List - Unidentified Flying Objects"" that contains details about the incident. Many summaries also include witness lists or statements and other narrative reports or descriptions.",,,,,,https://www.war.gov/medialink/ufo/release_1/thumbnail/38_143685_box7_incident_summaries_1-100.jpg,https://www.war.gov/medialink/ufo/release_1/38_143685_box7_incident_summaries_1-100.pdf,2026-05-08T16:48:52Z,2026-05-08T16:52:30Z,files/pdfs/dow-009-38-143685-box7-incident-summaries-1-100.pdf,247087612,13d1805bd1725b38174a328ddf34db564228163768a9082ddd59bca3780fc10e,200,application/pdf,"""ae54b36266333ff0529040a97148092c:1778199179.811575""","Thu, 07 May 2026 23:52:02 GMT",extracted/dow-009-38-143685-box7-incident-summaries-1-100.md,ok,
dow-010-dow-uap-d10-mission-report-middle-east-may-2022,pdf,"DOW-UAP-D10, Mission Report, Middle East, May 2022",DoW,Department of War,PDF,Release 01,5/8/26,5/6/22,Iraq,"This document is a Mission Report (MISREP), a standardized reporting form the U.S. Military uses to record the circumstances surrounding its operations. U.S. military services often use MISREPs to report Unidentified Anomalous Phenomena (UAP) to AARO. The GENTEXT, or “general text” section of these reports often contains important qualitative, contextual information, distinguishing it from the more quantitative, or numerical, data found elsewhere in the report. 
A U.S. military operator reported observing “5x UAP fly across the screen.” The report continues by describing one of those observations as a “possible missile” and the remaining four as “possible birds.”
All descriptive and estimative language contained in this report reflects the reporter’s subjective interpretation at the time of the event. Such characterizations should not be interpreted as a conclusive indication of the presence or absence of any intrinsic object features or performance characteristics.",TRUE,PR-19,,,1006056,https://www.war.gov/medialink/ufo/release_1/thumbnail/dow-uap-d10-mission-report-middle-east-may-2022.jpg,https://www.war.gov/medialink/ufo/release_1/dow-uap-d10-mission-report-middle-east-may-2022.pdf,2026-05-08T16:48:52Z,2026-05-08T16:53:32Z,files/pdfs/dow-010-dow-uap-d10-mission-report-middle-east-may-2022.pdf,663290,f9deed9063306b0c45a5a0f6b754db6967f7dc3a0ed66097f154be4b0f033399,200,application/pdf,"""5c3a600517dda02080c8f61fcf00f879:1778199250.331937""","Thu, 07 May 2026 23:54:50 GMT",extracted/dow-010-dow-uap-d10-mission-report-middle-east-may-2022.md,ok,
