sort_date,incident_date_raw,incident_date_inferred,incident_date_inferred_source,id,type,agency,title,incident_location,summary_short
1945-03-18,3/18/45,,,dow-003-331-120752-numeric-files-1944-1945-37153-german-armament-equ,pdf,DoW,331_120752_Numeric_Files_1944–1945_37153_German_Armament_Equipment_Documents,Germany,"This file contains SHAEF messages and memorandums related to ""night phenomena (foofighters),"" flak rockets, unidentified cylindrical objects, and blinking lights. The documents include multiple refere"
1947-12-30,12/30/47,,,dow-001-18-100754-general-1946-7-vol-2,pdf,DoW,18_100754_ General 1946-7_Vol_2,N/A,This file contains memorandums and correspondence related to flying disc/saucer sightings and that those are a matter of concern for the Air Materiel Command.
1948-01-01,1948-1950,,,dow-085-dow-uap-d017-uap-reported-at-sandia-base-1948-1950,pdf,DoW,"DOW-UAP-D017, UAP Reported at Sandia Base, 1948-1950",New Mexico,"This file contains 116 pages of documentation from the Armed Forces Special Weapons Program (AFSWP) – the direct, post-World War II successor to the Manhattan Project – and from the U.S. Air Force – r"
1948-06-15,6/15/48,,,dow-002-18-6369445-general-1948-vol-1,pdf,DoW,18_6369445_General_1948_Vol_1,N/A,"This file contains memorandums, correspondence, and forms related to the reporting of information on flying discs and investigations into sightings."
1948-11-08,11/8/48,,,dow-004-341-110448-records-relating-to-the-collection-and-disseminat,pdf,DoW,341_110448_Records_Relating_to_the_Collection_and_Dissemination_of_Intelligence_1948-1955-TS_CONT_No.2_2-5300-2-5399,Netherlands,An Air Force intelligence report from November 1948 relating to unidentified flying objects and flying saucers.
1950-01-09,1/9/50,,,dow-006-342-hs1-416511228-319-1-flying-discs-1949,pdf,DoW,342_HS1-416511228_319.1 Flying Discs 1949,N/A,This file primarily contains incident reports on Unidentified Flying Objects (UFOs) written in compliance with the 1948 Flight Service Regulation (FSR) 200-4. The incidents were witnessed by military 
1952-07-18,7/18/52,1952-07-18,csv+summary,state-002-59-64634-711-5612-7-2852,pdf,State,59_64634_711.5612[7-2852,N/A,"This two page memorandum, dated July 18, 1952, relates to increased reports of unidentified flying objects (UFOs). Included in the record are possible explanations of increased sightings, such as tech"
1952-07-28,7/28/52,,,state-008-59-64634-711-5612-7-2852,pdf,State,59_64634_711.5612[7-2852,N/A,"This two page memorandum, dated July 28, 1952, relates to increased reports of unidentified flying objects (UFOs). Included in the record are possible explanations of increased sightings, such as tech"
1955-10-14,10/14/55,,,dow-005-341-110677-numerical-file-5-2500,pdf,DoW,"341_110677_Numerical_File,_5-2500",Azerbaijan,"Air Intelligence Information Report, 14 October 1955, Report of eye witness account of the ascent and flight of a unconventional aircraft in the trans-Caucasus region on the USSR."
1957-11-07,11/7/57,,,fbi-018-65-hs1-101634279-100-de-26505,pdf,FBI,65_HS1-101634279_100-DE-26505,Germany,"An FBI report from 1957 detailing the interview with Wladyslaw Krasuski, who recounted seeing a large, circular, vertically-rising vehicle in 1944 Germany near a German military compound."
1958-04-17,4/17/58,,,fbi-017-65-hs1-101634279-100-de-18221-serial-844,pdf,FBI,65_HS1-101634279_100-DE-18221_Serial_844,"Detroit, MI","An FBI memo from 1958 reporting a UFO sighting by a Detroit man who described a ""circular object with a crystal-type dome,"" and recommending that the information be forwarded to ""proper air force auth"
1961-07-21,7/21/61,,,nasa-022-nasa-uap-d014-mercury-redstone-4-july-21-1961,audio,NASA,"NASA-UAP-D014, Mercury-Redstone 4, July 21, 1961",North Atlantic Ocean,"During the recovery of the fourth launch and second crewed spaceflight of Project Mercury, Mercury-Redstone 4 (MR-4) Liberty Bell 7, the recovery team discusses a dye pack in the water that did not ac"
1962-05-24,5/24/62,,,nasa-021-nasa-uap-d013-mercury-atlas-7-may-24-1962,audio,NASA,"NASA-UAP-D013, Mercury Atlas 7, May 24, 1962",Low Earth Orbit,"During the fourth crewed spaceflight and second orbital flight of Project Mercury, Mercury-Atlas 7 (MA-7), Aurora 7 pilot Scott Carpenter describes white particles in view that appear to move at “rand"
1962-10-03,10/3/62,,,nasa-020-nasa-uap-d012-mercury-atlas-8-audio-excerpt-october-3-1962,audio,NASA,"NASA-UAP-D012, Mercury Atlas 8 Audio Excerpt, October 3, 1962",Low Earth Orbit,"During the Mercury Atlas 8 mission, Sigma 7 pilot Walter M. “Wally” Schirra Jr. describes observing “little white objects that tend to come from the capsule itself and drift off.” Schirra later also r"
1963-05-15,5/15/63,,,nasa-018-nasa-uap-d010-mercury-atlas-9-audio-excerpt-may-15-1963,audio,NASA,"NASA-UAP-D010, Mercury Atlas 9 Audio Excerpt, May 15, 1963",Low Earth Orbit,"Approximately one hour and 41 minutes into the final and longest flight of Project Mercury, Mercury-Atlas 9 mission (MA-9) Faith 7 Pilot L. Gordon Cooper Jr. notes that he sees “John’s fireflies,” ref"
1963-05-15,5/15/63,,,nasa-019-nasa-uap-d011-mercury-atlas-9-audio-excerpt-may-15-1963,audio,NASA,"NASA-UAP-D011, Mercury Atlas 9 Audio Excerpt, May 15, 1963",Low Earth Orbit,"During the final and longest flight of Project Mercury, Mercury-Atlas 9 mission (MA-9) Faith 7 Pilot L. Gordon Cooper Jr. describes the brilliant blue of sunrise beneath the haze layer of the Earth’s "
1963-07-18,7/18/63,,,state-001-59-214434-sp-16-7-18-1963,pdf,State,59_214434_SP 16 [7.18.1963],N/A,"This memorandum, dated July 18, 1963, from the Executive Office of the President, National Aeronautics and Space Council, relates to thoughts on the space alien race question. Included are details rel"
1965-12-05,12/5/65,,,nasa-002-nasa-uap-d3-gemini-7-transcript-1965,pdf,NASA,"NASA-UAP-D003, Gemini 7 Transcript, 1965",Low Earth Orbit,"Gemini 7 was the tenth crewed American spaceflight. This document is a transcript of communications between the flight crew, Astronauts James “Jim” Lovell and Frank Borman, and the Manned Flight Cente"
